hotelName,hotelMinCharge,reviewAverage,reviewCount,telephoneNo,hotelInformationUrl,access,parkingInformation
東京ステーションホテル,20505,4.73,584,03-5220-1112,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=137869,JR東京駅丸の内南口直結。東京メトロ丸ノ内線東京駅より徒歩約3分。,"有り。宿泊者一泊￥2,100（税金込） 予約不可"
丸ノ内ホテル,11500,4.68,832,03-3217-1111,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=5562,JR東京駅丸の内北口より徒歩1分、地下鉄各線東京駅/大手町駅より地下通路直結。,駐車場有り（有料）
ホテル　ハイマート＜東京都＞,4500,3.57,8,03-3273-9411,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=180263,東京駅（八重洲中央改札口）より徒歩にて約１分,無し
シャングリ・ラ　東京,15918,4.76,17,03-6739-7888,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182381,JR線 東京駅　日本橋口より徒歩1分、八重洲北口より徒歩2分,有り　58台　3000円（税込み／泊）　先着順
オークウッドプレミア東京,14784,4.73,15,03-6631-6800,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165685,東京駅八重洲口,"有り　２０９台　3,300円（税込み／泊）　先着順"
ホテルメトロポリタン丸の内,6000,4.41,2540,03-3211-2233,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=56634,ＪＲ東京駅日本橋口直結／八重洲北口改札より徒歩２分／東京メトロ東西線　大手町駅Ｂ７出口より徒歩１分■サピアタワー27階,サピアタワー共用地下駐車場　1泊 2000円　東京駅日本橋口ロータリー内入口より
高濃度炭酸泉　八重桜の湯　スーパーホテルＰｒｅｍｉｅｒ東京駅八重洲中央口,2670,4.61,2476,03-3241-9000,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=141356,東京駅より徒歩３分（八重洲中央口より）、羽田空港よりリムジンバスで30分、成田空港よりJRエクスプレスで60分。,立体駐車場20台/1泊1000円/入庫時間15：00〜24：00・出庫時間7：00〜11：00/
八重洲ターミナルホテル,4300,3.94,2554,03-3281-3771,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=8961,JR東京駅 八重洲北口より徒歩3分、地下鉄日本橋駅より徒歩3分。東京駅前なのでどこへ行くのにも便利です。,無し
フォーシーズンズホテル丸の内東京,18996,4.71,7,03-5222-7222,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181694,東京駅徒歩4分,有り　9台　5500円（税込み／泊）　予約不要
からくさホテル　ＴＯＫＹＯＳＴＡＴＩＯＮ,2540,4.63,52,03-3243-6602,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168397,JR東京駅八重洲北口より徒歩約5分  東京メトロ 日本橋駅より徒歩約6分,無し。近隣にコインパーキング有り。
京王プレッソイン東京駅八重洲,3100,4.33,984,03-3279-0202,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160960,ＪＲ　東京駅八重洲中央口より徒歩にて約３分,無し
東横イン東京駅八重洲北口,4900,,1,03-6854-1045,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=162820,東京駅,無し
ホテル龍名館東京,4800,4.69,1569,03-3271-0971,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=76496,ＪＲ東京駅 八重洲北口から徒歩３分。東京メトロ銀座線・東西線 日本橋駅A３出口より徒歩１分。,有り　３４台　１２００円（税込み／泊）　要予約
コートヤード・バイ・マリオット　東京ステーション,5445,4.75,61,03-5488-3923,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=145335,JR東京駅「八重洲南口」より徒歩4分。地下鉄銀座線京橋駅「7番出口」より徒歩1分。,有 (有料)
三井ガーデンホテル京橋,3300,4.53,528,03-3231-3131,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=151505,JR東京駅八重洲中央口徒歩5分,※ホテルには駐車場はございません。
ダイワロイネットホテル東京京橋（２０２０年２月オープン）,3300,4.48,157,03-5579-5850,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178610,東京駅八重洲中央口より徒歩にて約７分　/　京橋駅６番出口より徒歩にて約１分,有り　２４台　２，０００円（税込み／泊）　先着順
パールホテル八重洲,3410,4,1460,03-3246-8080,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=29934,東京駅八重洲北口より徒歩5分／地下鉄日本橋駅Ａ１出口より徒歩０分／地下鉄三越前駅Ｂ３より徒歩２分,無　※近隣のコインパーキングをご案内しております。
レム東京京橋,2750,4.17,111,03-6685-4123,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168396,東京メトロ銀座線京橋駅 6番出口前 / JR東京駅 八重洲南口から徒歩約7分,無し
ファーストキャビン（ＦＩＲＳＴ　ＣＡＢＩＮ）京橋,,,,03-5159-4126,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160893,東京駅より徒歩8分、京橋駅・宝町駅より徒歩1分,無し
Ｊホテル東京ジオ,1,4.29,67,03-6885-5667,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172447,東京駅日本橋口徒歩5・6分。半蔵門線三越前駅B1出口徒歩1・2分。JR神田駅徒歩6・7分。,お客様用駐車場のご用意はございません。近隣コインパーキング等をご利用くださいませ。
相鉄フレッサイン　東京京橋,1970,4.16,915,03-5250-2031,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=134922,JR東京駅八重洲中央口・八重洲南口より徒歩8分。地下鉄京橋駅・宝町駅からは、徒歩約2分▽羽田空港から宝町駅まで直通！,無し
アスコット丸の内東京,8660,4.71,33,03-5208-2001,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=161216,東京駅より徒歩にて約10分、大手町駅直結（C6a出口より）,有り
ホテルインターゲート東京京橋,2450,4.6,281,03-5524-2929,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165175,東京メトロ銀座線　京橋駅／都営地下鉄浅草線　宝町駅より徒歩にて約１分,有り　機械式立体駐車場　１８台　２，０００円（税込み／泊）　先着順　車高制限155cm
アパホテル＜銀座　京橋＞,2185,4.17,602,03-5159-5311,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=143288,東京メトロ銀座線京橋駅2番出口から徒歩２分◆都営地下鉄浅草線宝町駅Ａ3出口から徒歩１分◆東京駅徒歩10分,"有り　車椅子利用者専用駐車場1台・機械式駐車場3台（制限あり）　3,000円（税込み／1泊）先着順"
星のや東京,18295,4.24,37,0570-073-066,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172991,東京駅丸の内北口より徒歩10分 / 大手町駅からは、丸ノ内線はA1出口、その他の線はC1出口が最寄りです,大手町フィナンシャルシティグランキューブの地下駐車場内、地下2階に星のやの車寄せがございます。
ホテルＳＵＩ銀座京橋ｂｙＡＢＥＳＴ,3600,4.15,248,03-3563-9933,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=162965,都営浅草線　『宝町』駅徒歩にて約１分/銀座線　『京橋』駅より徒歩3分/『東京』駅より徒歩12分,無し
京王プレッソイン大手町,2650,4.45,6054,03-3241-0202,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40780,地下鉄大手町駅Ｂ６出口から徒歩６分、Ａ２出口から徒歩７分／ＪＲ東京駅日本橋口から徒歩７分／ＪＲ神田駅南口から徒歩５分,無
ＫＯＫＯ　ＨＯＴＥＬ　銀座一丁目,2110,4.27,233,03-3562-8212,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181420,「銀座一丁目」駅10番出口より徒歩1分,無し
ベルケンホテル東京（日本橋）,2550,4.23,289,03-3660-5515,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=163002,東京メトロ/都営浅草線「日本橋駅」D1出口より徒歩5分　東京メトロ「茅場町駅」12番出口より徒歩6分,"無し　（近くに提携駐車場がございます。１泊2,200円にてご利用いただけます)"
マンダリン　オリエンタル　東京,,,,050-3684-6895,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=169045,三越前駅から徒歩で約１分,有り
